Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,4,879.751529976613,951.9439912370091
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,5,979.8940411511333,1406.557132808257
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,6,992.9120971657383,1410.6404265001695
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,7,1198.9098536218166,1567.3215776795914
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,8,1300.9017152898873,1691.371741077355
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,9,1496.8164175037869,1768.2322631345419
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,10,1580.24895220348,2087.833514100149
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,1,341.36841592909394,1764.5933847283736
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,2,1235.6146748839772,3898.6287421379275
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,3,1559.7408499892506,4000.8738293955475
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,4,1832.496712209742,4218.313184974733
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,5,1968.647994192638,4642.030961254353
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,6,1996.355502696485,5230.817140275211
13.00,16.00,8.50,72,162.80,GFRP_High,"6,00E+10",2100,0.3,FNF,7,2259.4058104828528,5555.648422544274
